Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C3, C7",0805,8,0.1uf,
C13,C_Elec_4x5.4,1,4.7 uf,
"C16, C17",0805,2,100nf,
"C4, C5, C6",0805,3,C,
"D1, D7",0805,2,LED,
D10,D_DO-214AC_SMA,1,SMAJ15CA,
"D11, D8, D9",D_DO-214AC_SMA,3,SMAJ5CA,
D12,D_DO-15_P3.81mm_Vertical_AnodeUp,1,1N4148W,
"D14, D15",0805,2,LED_Small,
D16,LED_RGB_5050-6,1,LED_RGB,
D2,UFDFN-10_2.5x1mm,1,RCLAMP0524PATCT,RCLAMP0524PATCT
"D3, D4, D5",D_DO-214AC_SMA,3,1N4007,
D6,D_DO-214AC_SMA,1,D_Schottky_Generic,
F1,CAPC4520X203N,1,Fuse,
J1,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
J2,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J3,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
J4,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
OC1,DIP-8_W7.62mm,1,TLP350,
"Q1, Q2, Q4, Q5, Q6",SOT-23,5,BC817,
Q3,TO-252-2,1,IRLU3114Z,
"R10, R11, R14, R15, R16, R17, R3, R4, R5, R6, R7, R8, R9",0805,13,R,
R12,0805,1,10,
R13,0805,1,100k,
"R18, R19, R20, R21, R22, R23",0805,6,10k,
RDM1,RDM6300,1,RDM6300,
"SW1, SW2, SW3, SW5, SW6",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,5,SW_Push,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TO-252-2,1,L7805,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
