Designator,Mid X,Mid Y,Rotation,Layer
C1,183.6697,-77.3684,270.0,top
C10,176.7101,-100.3808,180.0,top
C11,148.9225,-100.6348,180.0,top
C12,168.7031,-100.3796,180.0,top
C13,122.4557,-70.358,90.0,top
C14,161.9273,-82.4992,90.0,top
C15,158.3713,-82.4992,90.0,top
C16,136.2225,-107.8992,0.0,top
C17,171.0205,-78.6892,90.0,top
C3,133.3269,-73.2872,270.0,top
C4,147.5001,-63.8556,270.0,top
C5,128.5517,-73.4244,270.0,top
C6,130.8885,-87.2744,0.0,top
C7,147.6017,-59.2328,270.0,top
D1,141.7597,-74.3014,180.0,top
D10,125.6053,-61.4568,90.0,top
D11,170.8173,-105.3084,0.0,top
D12,116.078,-77.978,90.0,top
D14,174.4987,-71.4836,90.0,top
D15,178.8437,-71.4267,90.0,top
D16,160.4033,-99.822,270.0,top
D2,176.1673,-63.9769,180.0,top
D3,139.2936,-57.7914,0.0,top
D4,130.8885,-57.6916,0.0,top
D5,130.8885,-83.312,180.0,top
D6,183.4665,-66.802,270.0,top
D7,141.7597,-71.3232,180.0,top
D8,149.6337,-105.3592,0.0,top
D9,160.2875,-105.3592,0.0,top
F1,111.2774,-68.58,180.0,top
J1,176.2421,-59.1419,180.0,top
J2,118.1454,-57.8612,270.0,top
J3,114.8815,-108.7628,270.0,top
J4,108.712,-77.8256,90.0,top
OC1,139.4737,-81.6356,180.0,top
Q1,160.4033,-93.4836,90.0,top
Q2,154.0533,-93.4401,90.0,top
Q3,122.8113,-81.9912,270.0,top
Q4,166.8041,-93.366,90.0,top
Q5,175.9623,-90.8216,270.0,top
Q6,181.0931,-90.8216,270.0,top
R10,170.8681,-97.3836,270.0,top
R11,146.6365,-82.4484,270.0,top
R12,130.8885,-79.987367,180.0,top
R13,130.8885,-76.913034,180.0,top
R14,164.8506,-100.3808,180.0,top
R15,166.7533,-89.0524,90.0,top
R16,160.3525,-89.0524,90.0,top
R17,154.0025,-89.0757,90.0,top
R18,171.0713,-82.4992,90.0,top
R19,149.3797,-82.4992,90.0,top
R20,181.0789,-93.726,0.0,top
R21,176.0008,-93.7768,180.0,top
R22,174.4749,-67.3396,270.0,top
R23,178.8437,-67.3119,270.0,top
R3,137.4864,-71.3042,0.0,top
R4,137.4864,-74.3014,0.0,top
R5,178.5241,-97.2324,270.0,top
R6,180.8757,-100.2792,180.0,top
R7,152.9588,-100.6856,180.0,top
R8,150.7827,-97.334,270.0,top
R9,172.9703,-100.4096,180.0,top
RDM1,123.6749,-97.6884,0.0,top
SW1,170.7157,-109.7788,0.0,top
SW2,149.7353,-109.7788,0.0,top
SW3,160.2367,-109.7788,0.0,top
SW5,166.7533,-82.1436,270.0,top
SW6,153.9517,-82.1436,270.0,top
U2,139.3952,-64.5986,270.0,top
U3,130.8885,-65.1764,90.0,top
U4,178.4007,-80.7466,270.0,top
U5,160.0861,-62.156,0.0,top
